entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
373972,374878,2002-02-28 09:05:00,2002-03-15 11:15:00,-1,105.609375,102.75171875,906,2839.031250000005,18.625,True
375871,376752,2002-04-03 14:00:00,2002-04-19 07:25:00,1,103.640625,104.1665625,881,507.3124999999977,18.625,True
377062,377850,2002-04-24 13:15:00,2002-05-08 12:15:00,1,105.21875,105.09468749999999,788,-142.68750000000796,18.625,True
378711,379072,2002-05-23 10:40:00,2002-05-31 07:25:00,1,106.15625,105.85265625,361,-322.21875000000455,18.625,True
379872,380452,2002-06-14 07:25:00,2002-06-25 09:05:00,1,106.921875,106.84265625,580,-97.84374999999545,18.625,True
380512,380555,2002-06-26 07:25:00,2002-06-26 11:00:00,1,107.921875,107.70890625,43,-231.5937500000017,18.625,True
381309,381601,2002-07-10 13:50:00,2002-07-16 11:30:00,1,108.796875,108.3740625,292,-441.43750000000625,18.625,True
381796,382070,2002-07-19 07:45:00,2002-07-24 10:35:00,1,109.46875,110.83359375,274,1346.2187500000057,18.625,True
382636,382806,2002-08-02 11:05:00,2002-08-06 11:55:00,1,111.953125,111.45234375,170,-519.4062500000028,18.625,True
383072,383300,2002-08-12 07:25:00,2002-08-14 13:05:00,1,112.578125,113.03015625,228,433.40625000000455,18.625,True
384985,385618,2002-09-13 13:30:00,2002-09-25 12:55:00,1,113.78125,114.778125,633,978.2500000000028,18.625,True
385811,385979,2002-09-30 09:00:00,2002-10-02 09:40:00,1,115.9375,115.025625,168,-930.4999999999949,18.625,True
386315,386530,2002-10-08 11:00:00,2002-10-11 08:55:00,1,116.1875,115.14937499999999,215,-1056.750000000008,18.625,True
386592,387234,2002-10-15 07:25:00,2002-10-25 07:35:00,-1,114.0,112.91484375,642,1066.5312499999973,18.625,True
388022,388317,2002-11-07 13:15:00,2002-11-14 11:10:00,1,114.875,114.3140625,295,-579.5624999999943,18.625,True
388679,389223,2002-11-21 08:00:00,2002-12-02 13:20:00,-1,112.796875,111.17890625,544,1599.3437500000027,18.625,True
390245,390846,2002-12-19 11:50:00,2003-01-02 08:35:00,1,113.53125,114.39140625,601,841.5312500000028,18.625,True
393152,393328,2003-02-13 07:25:00,2003-02-18 08:45:00,1,114.96875,114.48421875,176,-503.1562500000034,18.625,True
393516,393872,2003-02-20 11:05:00,2003-02-27 07:25:00,1,115.640625,115.2421875,356,-417.0625,18.625,True
394354,394675,2003-03-07 07:35:00,2003-03-13 07:40:00,1,116.40625,115.4278125,321,-997.0624999999983,18.625,True
394861,395295,2003-03-17 09:50:00,2003-03-24 12:40:00,-1,114.5625,113.64078125,434,903.0937499999966,18.625,True
397390,398833,2003-04-30 13:55:00,2003-05-28 07:30:00,1,115.078125,117.9646875,1443,2867.9374999999964,18.625,True
399316,399413,2003-06-05 07:45:00,2003-06-06 09:10:00,1,119.15625,118.0884375,97,-1086.4375000000023,18.625,True
399559,399954,2003-06-10 08:00:00,2003-06-17 07:35:00,1,119.28125,119.233125,395,-66.74999999999886,18.625,True
400514,400772,2003-06-26 07:35:00,2003-07-01 09:05:00,-1,117.59375,117.9175,258,-342.375000000004,18.625,True
400832,401387,2003-07-02 07:25:00,2003-07-14 09:00:00,-1,116.75,117.0653125,555,-333.93750000000455,18.625,True
401469,401945,2003-07-15 09:10:00,2003-07-23 08:50:00,-1,115.90625,113.940625,476,1947.0000000000027,18.625,True
402176,402268,2003-07-28 08:05:00,2003-07-29 09:05:00,-1,112.8125,112.88328125,92,-89.40624999999602,18.625,True
402303,402366,2003-07-29 12:00:00,2003-07-30 10:35:00,-1,111.765625,112.48875,63,-741.749999999996,18.625,True
402411,402508,2003-07-31 07:40:00,2003-08-01 09:05:00,-1,111.375,110.72125,97,635.1250000000023,18.625,True
404090,404374,2003-08-29 07:35:00,2003-09-04 11:15:00,-1,109.65625,109.4271875,284,210.43749999999773,18.625,True
404825,405293,2003-09-12 08:50:00,2003-09-22 07:50:00,1,112.390625,111.7771875,468,-632.0625000000034,18.625,True
405513,405945,2003-09-24 12:50:00,2003-10-02 08:50:00,1,112.90625,113.60249999999999,432,677.624999999992,18.625,True
406546,406842,2003-10-15 07:35:00,2003-10-20 12:15:00,-1,111.421875,111.58921875,296,-185.96875000000057,18.625,True
408253,408786,2003-11-14 09:50:00,2003-11-25 07:35:00,1,113.3125,112.9528125,533,-378.3125000000068,18.625,True
408976,409296,2003-12-01 07:25:00,2003-12-05 07:25:00,-1,110.71875,110.89484375,320,-194.71875000000682,18.625,True
411066,411538,2004-01-09 07:35:00,2004-01-20 08:25:00,1,113.21875,113.8809375,472,643.5625000000017,18.625,True
411795,411828,2004-01-23 09:50:00,2004-01-23 12:35:00,1,115.03125,113.95828125,33,-1091.5937500000011,18.625,True
412983,413668,2004-02-13 08:50:00,2004-02-27 07:25:00,1,115.109375,114.22125,685,-906.7500000000023,18.625,True
414076,415310,2004-03-05 08:05:00,2004-03-26 10:55:00,1,115.375,115.38140625,1234,-12.218750000002274,18.625,True
415669,415671,2004-04-02 07:30:00,2004-04-02 07:40:00,-1,114.703125,113.29359375,2,1390.9062500000005,18.625,True
416148,416310,2004-04-13 07:25:00,2004-04-15 07:35:00,-1,112.171875,111.6365625,162,516.6875000000034,18.625,True
416628,417420,2004-04-21 07:25:00,2004-05-04 13:25:00,-1,110.53125,111.0684375,792,-555.8125000000017,18.625,True
417508,418054,2004-05-06 07:25:00,2004-05-14 12:55:00,-1,109.96875,108.87484375,546,1075.2812500000034,18.625,True
418879,419593,2004-06-01 10:20:00,2004-06-15 09:50:00,-1,107.796875,108.07000000000001,714,-291.7500000000074,18.625,True
420150,420384,2004-06-24 09:35:00,2004-06-29 09:05:00,1,109.1875,108.14203125,234,-1064.0937499999977,18.625,True
420472,421554,2004-06-30 09:45:00,2004-07-21 08:05:00,1,109.234375,110.2921875,1082,1039.1874999999973,18.625,True
422506,422737,2004-08-06 07:25:00,2004-08-10 13:20:00,1,111.40625,112.19484375,231,769.968750000004,18.625,True
424108,424325,2004-09-03 07:35:00,2004-09-08 13:50:00,-1,111.640625,112.18890625,217,-566.9062500000023,18.625,True
424793,425538,2004-09-16 12:50:00,2004-09-30 08:15:00,1,113.109375,112.65890625,745,-469.09374999999886,18.625,True
425931,426070,2004-10-07 07:40:00,2004-10-12 07:25:00,-1,111.796875,112.7728125,139,-994.5625000000006,18.625,True
426630,427033,2004-10-21 07:25:00,2004-10-28 07:40:00,1,113.75,112.93734375,403,-831.2812500000034,18.625,True
427511,428106,2004-11-05 07:30:00,2004-11-17 10:25:00,-1,112.53125,112.615,595,-102.37499999999488,18.625,True
