Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
5,tf,505298,505299,2025-01-29 13:00:00,2025-01-29 13:05:00,1,103095.0,102069.0,1,-5155.0,25.0,True,276,0.01
5,tf,505307,505311,2025-01-29 13:45:00,2025-01-29 14:05:00,1,103100.0,103019.4,4,-428.0000000000291,25.0,True,276,0.01
5,tf,505315,505324,2025-01-29 14:25:00,2025-01-29 15:10:00,1,104060.0,103870.8,9,-970.9999999999854,25.0,True,276,0.01
5,tf,505336,505352,2025-01-29 17:10:00,2025-01-29 18:30:00,1,104920.0,104341.05,16,-2919.7499999999854,25.0,True,276,0.01
5,tf,505379,505516,2025-01-29 20:45:00,2025-01-30 08:10:00,1,105395.0,105633.0,137,1165.0,25.0,True,276,0.01
5,tf,505524,505532,2025-01-30 08:50:00,2025-01-30 09:30:00,1,106700.0,106425.0,8,-1400.0,25.0,True,276,0.01
5,tf,505652,505760,2025-01-30 20:30:00,2025-01-31 05:30:00,-1,105115.0,105545.0,108,-2175.0,25.0,True,276,0.01
5,tf,505845,505894,2025-01-31 12:35:00,2025-02-02 17:40:00,-1,104500.0,97773.05,49,33609.749999999985,25.0,True,276,0.01
5,tf,505903,505904,2025-02-02 18:25:00,2025-02-02 18:30:00,-1,96805.0,97283.2,1,-2415.9999999999854,25.0,True,276,0.01
5,tf,505907,505908,2025-02-02 18:45:00,2025-02-02 18:50:00,-1,96320.0,96581.25,1,-1331.25,25.0,True,276,0.01
5,tf,505915,505921,2025-02-02 19:25:00,2025-02-02 19:55:00,-1,95625.0,94101.7,6,7591.500000000015,25.0,True,276,0.01
5,tf,505922,505923,2025-02-02 20:00:00,2025-02-02 20:05:00,-1,93030.0,93414.9,1,-1949.499999999971,25.0,True,276,0.01
5,tf,505924,505925,2025-02-02 20:10:00,2025-02-02 20:15:00,-1,92490.0,92369.55,1,577.2499999999854,25.0,True,276,0.01
5,tf,506139,506150,2025-02-03 14:05:00,2025-02-03 15:00:00,1,102810.0,101846.25,11,-4843.75,25.0,True,276,0.01
5,tf,506427,506439,2025-02-04 15:05:00,2025-02-04 17:05:00,-1,98350.0,98005.35,12,1698.249999999971,25.0,True,276,0.01
5,tf,506677,506689,2025-02-05 12:55:00,2025-02-05 13:55:00,-1,97035.0,97848.8,12,-4094.0000000000146,25.0,True,276,0.01
5,tf,506715,506740,2025-02-05 17:05:00,2025-02-05 19:10:00,-1,96880.0,97520.55,25,-3227.7500000000146,25.0,True,276,0.01
5,tf,506868,506885,2025-02-06 05:50:00,2025-02-06 07:15:00,1,99735.0,98767.35,17,-4863.249999999971,25.0,True,276,0.01
5,tf,506947,506958,2025-02-06 12:25:00,2025-02-06 13:20:00,-1,96555.0,97131.7,11,-2908.4999999999854,25.0,True,276,0.01
5,tf,506964,506973,2025-02-06 13:50:00,2025-02-06 14:35:00,-1,96170.0,96990.3,9,-4126.500000000015,25.0,True,276,0.01
5,tf,507170,507183,2025-02-07 08:00:00,2025-02-07 09:05:00,1,99425.0,99757.35,13,1636.750000000029,25.0,True,276,0.01
5,tf,507249,507276,2025-02-07 14:35:00,2025-02-09 17:50:00,-1,96465.0,96848.9,27,-1944.499999999971,25.0,True,276,0.01
5,tf,507299,507319,2025-02-09 19:45:00,2025-02-09 21:25:00,-1,95890.0,96460.05,20,-2875.2500000000146,25.0,True,276,0.01
5,tf,507616,507704,2025-02-10 23:10:00,2025-02-11 06:30:00,1,98755.0,97970.4,88,-3948.000000000029,25.0,True,276,0.01
5,tf,507722,507813,2025-02-11 08:00:00,2025-02-11 15:35:00,-1,97170.0,96015.65,91,5746.750000000029,25.0,True,276,0.01
