entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
105481,105499,2019-06-17 05:55:00,2019-06-17 07:25:00,1,9335.0,9370.35,18,151.75000000000182,25.0,True
105530,105531,2019-06-17 10:00:00,2019-06-17 10:05:00,1,9465.0,9400.05,1,-349.75000000000364,25.0,True
105615,105619,2019-06-17 18:05:00,2019-06-17 18:25:00,1,9495.0,9479.25,4,-103.75,25.0,True
105715,105723,2019-06-18 02:25:00,2019-06-18 03:05:00,-1,9190.0,9185.95,8,-4.750000000003638,25.0,True
105811,105814,2019-06-18 10:25:00,2019-06-18 10:40:00,-1,9095.0,9084.95,3,25.249999999996362,25.0,True
105837,105838,2019-06-18 12:35:00,2019-06-18 12:40:00,-1,8995.0,9074.85,1,-424.2500000000018,25.0,True
105883,105885,2019-06-18 17:25:00,2019-06-18 17:35:00,-1,8985.0,9074.85,2,-474.2500000000018,25.0,True
106155,106273,2019-06-19 17:05:00,2019-06-20 02:55:00,1,9255.0,9350.55,118,452.74999999999636,25.0,True
106354,106381,2019-06-20 09:40:00,2019-06-20 11:55:00,1,9445.0,9434.7,27,-76.49999999999636,25.0,True
106404,106431,2019-06-20 13:50:00,2019-06-20 17:05:00,1,9530.0,9607.95,27,364.75000000000364,25.0,True
106467,106486,2019-06-20 20:05:00,2019-06-20 21:40:00,1,9705.0,9825.75,19,578.75,25.0,True
106591,106616,2019-06-21 06:25:00,2019-06-21 08:30:00,1,9925.0,9944.55,25,72.74999999999636,25.0,True
106678,106685,2019-06-21 13:40:00,2019-06-21 14:15:00,1,10060.0,9959.4,7,-528.0000000000018,25.0,True
106707,106709,2019-06-23 17:05:00,2019-06-23 17:15:00,1,10060.0,11048.4,2,4916.999999999998,25.0,True
107008,107014,2019-06-24 19:10:00,2019-06-24 19:40:00,1,11155.0,11063.25,6,-483.75,25.0,True
107029,107046,2019-06-24 20:55:00,2019-06-24 22:20:00,1,11175.0,11152.35,17,-138.24999999999818,25.0,True
107066,107088,2019-06-25 00:00:00,2019-06-25 01:50:00,1,11265.0,11320.65,22,253.24999999999818,25.0,True
107134,107143,2019-06-25 05:40:00,2019-06-25 06:25:00,1,11435.0,11409.75,9,-151.25,25.0,True
107259,107274,2019-06-25 17:05:00,2019-06-25 18:20:00,1,11525.0,11642.4,15,561.9999999999982,25.0,True
107279,107302,2019-06-25 18:45:00,2019-06-25 20:40:00,1,11775.0,11875.05,23,475.24999999999636,25.0,True
107320,107335,2019-06-25 22:10:00,2019-06-25 23:25:00,1,11995.0,12206.7,15,1033.5000000000036,25.0,True
107339,107346,2019-06-25 23:45:00,2019-06-26 00:20:00,1,12330.0,12795.75,7,2303.75,25.0,True
107479,107481,2019-06-26 11:25:00,2019-06-26 11:35:00,1,12980.0,13196.7,2,1058.5000000000036,25.0,True
107483,107487,2019-06-26 11:45:00,2019-06-26 12:05:00,1,13355.0,13503.6,4,718.0000000000018,25.0,True
107504,107507,2019-06-26 13:30:00,2019-06-26 13:45:00,1,13640.0,13676.85,3,159.25000000000182,25.0,True
107508,107511,2019-06-26 13:50:00,2019-06-26 14:05:00,1,13815.0,13761.0,3,-295.0,25.0,True
107521,107524,2019-06-26 14:55:00,2019-06-26 15:10:00,1,13900.0,13775.85,3,-645.7499999999982,25.0,True
107666,107667,2019-06-27 04:00:00,2019-06-27 04:05:00,-1,11860.0,11938.2,1,-416.00000000000364,25.0,True
107668,107670,2019-06-27 04:10:00,2019-06-27 04:20:00,-1,11820.0,11574.6,2,1201.9999999999982,25.0,True
107672,107673,2019-06-27 04:30:00,2019-06-27 04:35:00,-1,11460.0,11519.05,1,-320.24999999999636,25.0,True
107754,107756,2019-06-27 11:20:00,2019-06-27 11:30:00,-1,11305.0,10887.8,2,2061.0000000000036,25.0,True
107763,107764,2019-06-27 12:05:00,2019-06-27 12:10:00,-1,10780.0,10736.3,1,193.50000000000364,25.0,True
107768,107769,2019-06-27 12:30:00,2019-06-27 12:35:00,-1,10515.0,10514.1,1,-20.50000000000182,25.0,True
107805,107806,2019-06-27 15:35:00,2019-06-27 15:40:00,-1,10410.0,10387.85,1,85.74999999999818,25.0,True
107946,107949,2019-06-28 04:20:00,2019-06-28 04:35:00,1,12170.0,12078.0,3,-485.0,25.0,True
107954,107957,2019-06-28 05:00:00,2019-06-28 05:15:00,1,12200.0,12211.65,3,33.24999999999818,25.0,True
107977,107979,2019-06-28 06:55:00,2019-06-28 07:05:00,1,12335.0,12280.95,2,-295.24999999999636,25.0,True
108066,108072,2019-06-28 14:20:00,2019-06-28 14:50:00,1,12405.0,12498.75,6,443.75,25.0,True
108075,108077,2019-06-28 15:05:00,2019-06-28 15:15:00,1,12625.0,12543.3,2,-433.50000000000364,25.0,True
108108,108109,2019-06-30 18:50:00,2019-06-30 18:55:00,-1,11025.0,10998.9,1,105.50000000000182,25.0,True
